query,oracle_bm25_weight,oracle_dense_weight,oracle_mrr,oracle_ndcg,oracle_rank,v3_bm25_weight,v3_dense_weight,v3_mrr,oracle_gain_over_v3,bm25_mrr,dense_mrr,weight_error
sprint sprint goal,0.0,1.0,0.3333333333333333,0.5,3,0.149885,0.850115,0.3333333333333333,0.0,0.0,0.3333333333333333,0.149885
salary module tax,0.0,1.0,1.0,1.0,1,0.053261,0.946739,1.0,0.0,0.3333333333333333,1.0,0.053261
backlog items pbis,0.15,0.85,1.0,1.0,1,0.106254,0.893746,0.5,0.5,0.5,0.5,0.04374599999999999
100 hours sprint,0.55,0.44999999999999996,1.0,1.0,1,0.237808,0.762192,0.5,0.5,1.0,0.3333333333333333,0.312192
model agile,0.9,0.09999999999999998,0.3333333333333333,0.5,3,0.174863,0.825137,0.125,0.20833333333333331,0.3333333333333333,0.1,0.725137
responsible delivering sprint,0.0,1.0,1.0,1.0,1,0.143731,0.856269,1.0,0.0,0.5,1.0,0.143731
indian customer want,0.0,1.0,1.0,1.0,1,0.059584,0.940416,1.0,0.0,0.5,1.0,0.059584
shaped team shaped,0.0,1.0,1.0,1.0,1,0.013769,0.986231,1.0,0.0,0.0,1.0,0.013769
burndown chart,0.6,0.4,1.0,1.0,1,0.08798,0.91202,0.5,0.5,1.0,0.5,0.5120199999999999
slicing operation crud,0.0,1.0,1.0,1.0,1,0.074708,0.925292,1.0,0.0,1.0,1.0,0.074708
inertia scrum master,0.0,1.0,1.0,1.0,1,0.021932,0.978068,1.0,0.0,1.0,1.0,0.021932
management uses scrum,0.45,0.55,1.0,1.0,1,0.326787,0.6732130000000001,0.5,0.5,1.0,0.16666666666666666,0.12321300000000002
product recommendation engine,0.0,1.0,1.0,1.0,1,0.051506,0.948494,1.0,0.0,1.0,1.0,0.051506
slicing data variation,0.0,1.0,1.0,1.0,1,0.007563,0.992437,1.0,0.0,1.0,1.0,0.007563
capacity team formula,0.2,0.8,1.0,1.0,1,0.109364,0.890636,0.5,0.5,1.0,0.5,0.09063600000000001
end sprint completed,0.0,1.0,1.0,1.0,1,0.202225,0.797775,1.0,0.0,0.3333333333333333,1.0,0.202225
backlog prioritized sprint,0.0,1.0,0.2,0.38685280723454163,5,0.210373,0.789627,0.2,0.0,0.1111111111111111,0.2,0.210373
app restaurant,0.0,1.0,1.0,1.0,1,0.016692,0.983308,1.0,0.0,0.16666666666666666,1.0,0.016692
spike spike,0.0,1.0,1.0,1.0,1,0.134768,0.865232,1.0,0.0,0.5,1.0,0.134768
prioritization captain adjusts,0.0,1.0,1.0,1.0,1,0.105695,0.894305,1.0,0.0,1.0,1.0,0.105695
backlog product backlog,0.0,1.0,1.0,1.0,1,0.025071,0.974929,1.0,0.0,0.3333333333333333,1.0,0.025071
stories sprint goals,0.45,0.55,1.0,1.0,1,0.166596,0.833404,0.5,0.5,0.5,0.3333333333333333,0.283404
adaptations team working,0.35,0.65,1.0,1.0,1,0.043037,0.956963,0.5,0.5,1.0,0.5,0.306963
kanban backlog,0.0,1.0,1.0,1.0,1,0.003292,0.996708,1.0,0.0,1.0,1.0,0.003292
