query,bm25_top_score,bm25_mean_score,bm25_score_std,bm25_score_gap,bm25_top_mean_ratio,dense_top_similarity,dense_mean_similarity,dense_similarity_std,dense_similarity_gap,dense_top_mean_ratio,overlap_ratio,rank_agreement,query_token_count,query_unique_token_count,query_avg_token_length,bm25_top_lexical_coverage,dense_top_lexical_coverage,oracle_bm25_weight
sprint sprint goal,3.3474516841348545,2.6426435698591115,0.4005409706084425,0.11249030700337137,1.2667057042101666,0.3251902461051941,0.18342894315719604,0.06651524261814004,0.04108196496963501,1.7728404280588947,0.1111111111111111,0.8333333333333334,3,2,5.333333333333333,1.0,1.0,0.0
salary module tax,18.221961323479018,4.9815926634280006,6.977570951290952,4.075882903017261,3.6578585513934567,0.021577298641204834,-0.52526735663414,0.2857316027832948,0.04676538705825806,-0.04107869710288105,0.17647058823529413,0.8518518518518519,3,3,5.0,1.0,1.0,0.0
backlog items pbis,3.9771105485652,3.474822581147252,0.36076562664241435,0.08082263853502791,1.1445506801248286,0.1360534429550171,-0.0402340292930603,0.09232576139466737,0.0356442928314209,-3.3815515210773093,0.3333333333333333,0.711111111111111,3,3,5.333333333333333,0.6666666666666666,0.6666666666666666,0.15
100 hours sprint,9.370734875860933,3.858177597102774,2.1821836923453803,3.099869994560872,2.4287982188527844,0.2445620894432068,0.0912056565284729,0.06726709308224071,0.08268576860427856,2.681435546345292,0.3333333333333333,0.711111111111111,3,3,4.666666666666667,1.0,1.0,0.55
model agile,4.5451768758528495,3.388767598251216,0.7813004950435806,0.0228965173392206,1.3412477380267687,0.23349058628082275,0.13886128664016723,0.04626287351591153,0.042979657649993896,1.681466389447114,0.3333333333333333,0.711111111111111,2,2,5.0,1.0,0.5,0.9
responsible delivering sprint,6.239785577049028,3.6873371643775856,1.2389099547052065,0.1828422489861774,1.6922199676585012,0.24255436658859253,0.10787078738212585,0.0549366714704693,0.07527667284011841,2.2485639761704723,0.1111111111111111,0.8888888888888888,3,3,9.0,1.0,1.0,0.0
indian customer want,14.338441662769906,5.839230192196435,3.484195330581694,4.648948926802824,2.4555362934538603,0.2408345341682434,-0.2859408915042877,0.2773181138802136,0.08026653528213501,-0.8422528617759174,0.25,0.9166666666666666,3,3,6.0,1.0,1.0,0.0
shaped team shaped,2.155155345362731,2.0696718416456776,0.06211536044932132,0.004052736754756925,1.0413029263852196,0.19120442867279053,-0.28329495191574094,0.18449239617121294,0.26567208766937256,-0.6749305887019813,0.25,0.7777777777777778,3,2,5.333333333333333,0.5,1.0,0.0
burndown chart,6.533439024570048,4.4017693451155955,1.740098199250046,0.08307162766829546,1.4842756428888875,0.3123258352279663,0.010282695293426514,0.16827080075730247,0.06753051280975342,30.37392690490682,0.42857142857142855,0.7592592592592593,2,2,6.5,1.0,1.0,0.6
slicing operation crud,13.9675748152215,3.92052571752487,5.064217918469599,4.328226059596105,3.562679043982804,0.4134594798088074,-0.32968866229057314,0.39713156956698975,0.04391688108444214,-1.2540906834230239,0.25,0.9444444444444444,3,3,6.666666666666667,1.0,1.0,0.0
inertia scrum master,7.347435364447658,4.39261911906485,1.3667249299875348,1.1811340063177385,1.6726775450569595,0.3950035572052002,-0.015392237901687622,0.15033064647448469,0.33672940731048584,-25.662516375340818,0.3333333333333333,0.8888888888888888,3,3,6.0,1.0,1.0,0.0
management uses scrum,6.621783745759543,4.053103536923723,0.9255962827960006,2.1578705377682157,1.6337563759314744,0.2993430495262146,0.22987667918205262,0.03011341896038435,0.03865683078765869,1.3021897244702563,0.17647058823529413,0.6296296296296295,3,3,6.333333333333333,1.0,0.6666666666666666,0.45
product recommendation engine,9.971958879504268,1.8369806484095814,2.7119360575007017,8.96800671238056,5.428450696058109,0.18199175596237183,-0.33354669213294985,0.2101845489287582,0.3065035939216614,-0.5456260255455657,0.1111111111111111,0.8888888888888888,3,3,9.0,1.0,1.0,0.0
slicing data variation,13.047410568721387,5.820496780665241,4.495210928746141,0.5522793743205678,2.241631781682759,0.3979458808898926,-0.3735837459564209,0.3346580383272828,0.49042797088623047,-1.0652119777617775,0.25,0.8611111111111112,3,3,6.666666666666667,1.0,1.0,0.0
capacity team formula,11.364879591273247,5.436514180449395,2.500239844184552,4.625945366119343,2.090471801240441,0.3715999126434326,-0.13843790888786317,0.25574913920225234,0.051670730113983154,-2.6842352331718202,0.42857142857142855,0.7407407407407407,3,3,6.333333333333333,1.0,1.0,0.2
end sprint completed,5.756628785971463,4.036038436829054,1.1970092090411997,0.026777760341781587,1.4263067302436803,0.19433969259262085,0.09668980836868286,0.03703524173625537,0.08029025793075562,2.0099294421144607,0.25,0.75,3,3,6.0,1.0,1.0,0.0
backlog prioritized sprint,4.437255353089796,2.863029513242781,1.3270757939653999,0.029416537088204464,1.5498461795680143,0.3877258896827698,0.23810250759124757,0.06782109633721015,0.07857143878936768,1.62839901857893,0.17647058823529413,0.8518518518518519,3,3,8.0,0.6666666666666666,1.0,0.0
app restaurant,8.94052779165088,3.470425095953094,2.7475312354980708,2.8699031321493775,2.576205376706312,0.021391987800598145,-0.2630451679229736,0.1937354029849556,0.027693748474121094,-0.0813243899118583,0.3333333333333333,0.6,2,2,6.5,1.0,1.0,0.0
spike spike,10.882341117939669,2.9582553171243156,4.581951328024913,0.0863424067541505,3.678634854451394,0.052073895931243896,-0.32735498547554015,0.25185734422367667,0.07880574464797974,-0.1590746994599685,0.17647058823529413,0.7777777777777778,2,1,5.0,1.0,1.0,0.0
prioritization captain adjusts,10.328898625749641,4.5633310766995,2.10293944179934,5.079331524234573,2.263455894859195,0.17159640789031982,-0.1854434311389923,0.17366175844640364,0.12331932783126831,-0.9253302035902584,0.42857142857142855,0.9074074074074074,3,3,9.333333333333334,1.0,1.0,0.0
backlog product backlog,3.53568017560596,3.277409200617761,0.16739445704503378,0.03098619613565523,1.0788033959688395,0.5334660708904266,0.1250801831483841,0.13983111052032618,0.3968805968761444,4.264992722768638,0.6666666666666666,0.625,3,2,7.0,1.0,1.0,0.0
stories sprint goals,4.1783363373822,3.02894022814873,1.0594667272452345,0.2661609948586907,1.3794713737008848,0.3700496554374695,0.26412531137466433,0.07740198764094663,0.004463016986846924,1.4010382174715184,0.25,0.8055555555555556,3,3,6.0,0.3333333333333333,0.6666666666666666,0.45
adaptations team working,8.243813885023728,4.181041102621278,1.3835925672012173,4.042715561521495,1.9717131888168522,0.06653517484664917,-0.05793911814689636,0.057025056435994904,0.0923575758934021,-1.1483636095040095,0.17647058823529413,0.6666666666666667,3,3,7.333333333333333,1.0,0.3333333333333333,0.35
kanban backlog,6.621914015516236,2.5905033909972133,2.0576325621432954,0.954097968900327,2.5562267312713813,0.41927528381347656,-0.1415974497795105,0.20003016608064378,0.44979023933410645,-2.9610369711202718,0.3333333333333333,0.6666666666666667,2,2,6.5,1.0,1.0,0.0
voting dot voting,14.07555989677315,3.0659006388855445,5.29601760705706,1.3765269819972925,4.5910032824448015,0.3398323059082031,-0.5400284767150879,0.3032980880589161,0.8163337707519531,-0.6292858998387492,0.17647058823529413,0.962962962962963,3,2,5.0,1.0,1.0,0.0
edit delete restaurant,17.644793116652984,2.998421174010954,5.229559718644759,12.603480954516268,5.884694675181254,0.182023823261261,-0.4287702143192291,0.2590456135793742,0.457802951335907,-0.4245253452371114,0.25,0.75,3,3,6.666666666666667,1.0,1.0,0.0
sprint backlog,1.3183938961148771,1.259121765415187,0.059222568466919895,0.0004869674550982417,1.0470741848228997,0.3700442314147949,0.207745361328125,0.06588536705445279,0.11332237720489502,1.781239441637042,0.25,0.6111111111111112,2,2,6.5,1.0,1.0,0.0
ligning business strategy,10.88569257554407,3.9901239546690035,2.4246354024105488,6.00468191841832,2.728158999373011,0.49549078941345215,-0.2587976217269897,0.2577536183772894,0.7190216779708862,-1.9145878779989498,0.3333333333333333,0.7777777777777778,3,3,7.666666666666667,1.0,1.0,0.0
spike time,8.44557502559774,3.6281902834762767,2.137085824502152,2.262207596142251,2.327765184770239,0.1653469204902649,-0.21503981947898865,0.1960439466844552,0.1420162320137024,-0.7689130361571048,0.25,0.8333333333333334,2,2,4.5,1.0,1.0,0.0
burndown chart just,9.788307125427101,5.110432347046136,2.053733260290353,3.2548681008570535,1.9153579307404016,0.28008824586868286,-0.008946257829666137,0.16391256856426795,0.04991757869720459,-31.307866507032628,0.42857142857142855,0.7407407407407407,3,3,5.666666666666667,1.0,1.0,0.0
professional scrum developer,9.134065913524065,4.922950868045588,1.7992165171221108,2.419673102982042,1.8554046461873974,0.357133150100708,0.17987780570983886,0.08660220418625234,0.09503507614135742,1.985420873305515,0.17647058823529413,0.7407407407407407,3,3,8.666666666666666,1.0,1.0,0.0
backlog key responsibilities,5.531251432960513,3.4924353328216355,0.7719571339168207,1.3529150955783127,1.5837806303750974,0.21530139446258545,0.02599068880081177,0.08912903894552485,0.10370159149169922,8.28378947986407,0.3333333333333333,0.6444444444444444,3,3,8.666666666666666,0.6666666666666666,0.6666666666666666,0.0
