feature,importance
dense_top_lexical_coverage,0.3072601204790903
dense_mean_similarity,0.1202534822439701
dense_similarity_std,0.09070499513842191
dense_top_similarity,0.07570746978196162
dense_similarity_gap,0.05655489190498772
bm25_top_lexical_coverage,0.05087310690109251
rank_agreement,0.03837469736365909
query_avg_token_length,0.037400707771267895
bm25_top_mean_ratio,0.03466745076072033
bm25_mean_score,0.030498397709037676
dense_top_mean_ratio,0.030352924867828205
overlap_ratio,0.02644545570736477
bm25_top_score,0.025523343663770338
bm25_score_std,0.023237338378236508
bm25_score_gap,0.0199592900707953
query_unique_token_count,0.016815479062144995
query_token_count,0.015370848195650709
