query_length,avg_word_length,lexical_diversity,noun_ratio,verb_ratio,adjective_ratio,entity_count,idf_mean,idf_max,rare_term_ratio,embedding_norm,embedding_mean,embedding_std,query_entropy,bm25_weight,dense_weight
3,6.667,1.0,0.667,0.0,0.333,0,2.728,3.767,0.333,1.0,-0.00068,0.051027,1.585,0.0,1.0
3,6.667,1.0,0.667,0.333,0.0,0,2.728,3.767,0.333,1.0,-0.000573,0.051028,1.585,0.0,1.0
3,6.667,1.0,0.667,0.0,0.333,0,2.728,3.767,0.333,1.0,-0.000648,0.051027,1.585,0.0,1.0
3,5.333,1.0,0.333,0.333,0.333,0,2.834,4.085,0.333,1.0,-0.0005,0.051029,1.585,0.5,0.5
3,7.0,1.0,0.667,0.0,0.333,0,3.296,5.472,0.333,1.0,0.000269,0.05103,1.585,0.5,0.5
2,5.5,1.0,1.0,0.0,0.0,0,1.753,1.916,0.5,1.0,0.000272,0.05103,1.0,0.5,0.5
2,5.0,1.0,0.0,1.0,0.0,0,2.393,2.869,0.5,1.0,0.000694,0.051026,1.0,0.5,0.5
1,5.0,1.0,0.0,1.0,0.0,0,1.916,1.916,0.0,1.0,0.000593,0.051028,0.0,0.5,0.5
3,5.667,1.0,1.0,0.0,0.0,0,2.26,3.274,0.333,1.0,0.000235,0.05103,1.585,0.5,0.5
2,6.0,1.0,0.5,0.5,0.0,0,3.347,4.778,0.5,1.0,0.001226,0.051016,1.0,0.5,0.5
3,7.667,1.0,0.667,0.0,0.333,0,3.467,5.066,0.333,1.0,-1e-05,0.051031,1.585,0.5,0.5
3,6.667,1.0,0.667,0.0,0.333,0,3.884,5.066,0.667,1.0,0.000112,0.051031,1.585,0.5,0.5
2,7.0,1.0,0.5,0.0,0.5,0,3.784,5.066,0.5,1.0,0.000643,0.051027,1.0,0.5,0.5
2,6.0,1.0,1.0,0.0,0.0,0,3.236,4.555,0.5,1.0,0.000414,0.051029,1.0,0.0,1.0
2,7.0,1.0,1.0,0.0,0.0,0,2.667,2.833,0.5,1.0,0.000386,0.05103,1.0,0.0,1.0
3,9.0,1.0,0.333,0.0,0.667,0,3.085,3.68,0.333,1.0,7.3e-05,0.051031,1.585,0.5,0.5
3,8.333,1.0,0.333,0.0,0.333,0,4.322,5.066,0.333,1.0,-0.000114,0.051031,1.585,0.5,0.5
3,10.0,1.0,0.667,0.0,0.333,0,3.657,4.219,0.667,1.0,0.000538,0.051028,1.585,0.5,0.5
2,11.0,1.0,0.5,0.0,0.5,0,3.377,3.68,0.5,1.0,0.000706,0.051026,1.0,0.5,0.5
3,10.0,0.667,0.667,0.0,0.333,0,3.86,4.219,0.333,1.0,-8.1e-05,0.051031,0.918,0.5,0.5
3,10.333,1.0,0.667,0.0,0.333,0,3.114,3.767,0.333,1.0,0.000176,0.051031,1.585,0.5,0.5
3,7.0,0.667,0.667,0.0,0.333,1,2.692,3.074,0.333,1.0,0.000248,0.05103,0.918,0.0,1.0
2,8.0,1.0,0.5,0.0,0.5,0,2.787,3.074,0.5,1.0,0.000846,0.051024,1.0,0.0,1.0
2,8.0,1.0,1.0,0.0,0.0,0,2.787,3.074,0.5,1.0,0.000658,0.051027,1.0,0.0,1.0
3,7.333,1.0,0.333,0.333,0.333,0,3.451,4.778,0.333,1.0,0.000921,0.051023,1.585,0.0,1.0
3,9.333,1.0,0.333,0.0,0.667,0,3.117,3.68,0.667,1.0,0.00033,0.05103,1.585,0.5,0.5
2,8.0,1.0,0.0,0.0,1.0,0,3.091,3.68,0.5,1.0,0.000228,0.051031,1.0,0.5,0.5
3,8.333,1.0,0.667,0.0,0.333,0,3.749,5.066,0.333,1.0,0.000452,0.051029,1.585,0.5,0.5
3,5.667,1.0,0.333,0.0,0.333,0,3.764,5.472,0.333,1.0,0.000338,0.05103,1.585,0.5,0.5
2,6.5,1.0,0.0,0.0,0.5,0,4.576,5.472,0.5,1.0,9.3e-05,0.051031,1.0,0.5,0.5
3,7.0,1.0,0.667,0.0,0.333,0,2.619,3.767,0.333,1.0,-0.000293,0.05103,1.585,0.5,0.5
3,7.0,1.0,0.333,0.333,0.333,0,2.619,3.767,0.333,1.0,-0.00036,0.05103,1.585,0.5,0.5
3,5.667,1.0,0.667,0.333,0.0,0,2.726,4.085,0.333,1.0,-0.000216,0.051031,1.585,0.5,0.5
2,8.0,1.0,1.0,0.0,0.0,0,2.678,3.767,0.5,1.0,-0.000258,0.05103,1.0,0.0,1.0
3,7.333,0.667,1.0,0.0,0.0,0,2.316,3.767,0.333,1.0,-0.000448,0.051029,0.918,0.0,1.0
3,6.667,1.0,1.0,0.0,0.0,0,3.506,4.555,0.667,1.0,0.000505,0.051029,1.585,0.5,0.5
3,5.667,1.0,1.0,0.0,0.0,0,2.54,3.332,0.667,1.0,0.000957,0.051022,1.585,0.5,0.5
3,6.667,1.0,0.667,0.333,0.0,0,3.872,5.472,0.667,1.0,0.000355,0.05103,1.585,0.5,0.5
3,6.667,0.667,1.0,0.0,0.0,0,1.96,2.699,0.333,1.0,0.000743,0.051026,0.918,0.5,0.5
3,5.333,0.667,1.0,0.0,0.0,0,1.96,2.699,0.333,1.0,0.000801,0.051025,0.918,0.0,1.0
3,5.667,1.0,0.333,0.0,0.667,0,4.211,5.066,0.667,1.0,0.000442,0.051029,1.585,0.5,0.5
3,6.333,1.0,0.333,0.0,0.667,0,4.041,5.066,0.667,1.0,0.001289,0.051015,1.585,0.5,0.5
3,7.667,1.0,0.333,0.333,0.333,0,4.041,5.066,0.667,1.0,0.000792,0.051025,1.585,0.5,0.5
2,9.5,1.0,1.0,0.0,0.0,0,2.491,3.392,0.5,1.0,0.000759,0.051025,1.0,0.0,1.0
2,6.5,1.0,0.5,0.0,0.5,0,3.784,5.066,0.5,1.0,0.000162,0.051031,1.0,0.0,1.0
3,6.333,1.0,0.333,0.0,0.667,0,5.031,5.472,0.667,1.0,0.001231,0.051016,1.585,0.5,0.5
3,7.667,1.0,0.333,0.333,0.333,0,4.896,5.066,0.667,1.0,0.001515,0.051009,1.585,0.5,0.5
3,6.0,1.0,0.333,0.0,0.667,0,4.434,5.066,0.667,1.0,0.001266,0.051015,1.585,0.5,0.5
2,7.0,1.0,0.5,0.0,0.5,0,4.811,5.066,0.5,1.0,0.001346,0.051013,1.0,0.5,0.5
3,6.0,1.0,0.333,0.333,0.333,0,4.896,5.066,0.667,1.0,0.001496,0.051009,1.585,0.5,0.5
3,6.667,1.0,0.667,0.333,0.0,0,4.171,5.066,0.667,1.0,0.001079,0.05102,1.585,0.5,0.5
2,7.0,1.0,1.0,0.0,0.0,0,4.07,5.066,0.5,1.0,0.000906,0.051023,1.0,0.5,0.5
2,8.5,1.0,0.5,0.5,0.0,0,3.723,4.373,0.5,1.0,0.001444,0.051011,1.0,0.5,0.5
3,7.667,1.0,0.667,0.333,0.0,0,4.171,5.066,0.667,1.0,0.000489,0.051029,1.585,0.5,0.5
3,6.333,1.0,0.333,0.667,0.0,0,4.257,5.066,0.667,1.0,0.000447,0.051029,1.585,0.5,0.5
2,6.0,1.0,0.5,0.5,0.0,0,3.27,5.066,0.5,1.0,0.000779,0.051025,1.0,0.5,0.5
3,5.333,1.0,0.333,0.333,0.0,0,3.773,5.066,0.667,1.0,0.000777,0.051025,1.585,0.5,0.5
3,7.333,1.0,0.333,0.333,0.333,0,3.869,5.066,0.667,1.0,0.000737,0.051026,1.585,0.5,0.5
2,6.0,1.0,0.5,0.5,0.0,0,2.473,3.029,0.5,1.0,-0.000323,0.05103,1.0,0.5,0.5
3,7.333,1.0,0.667,0.333,0.0,0,3.106,4.373,0.333,1.0,-0.000671,0.051027,1.585,1.0,0.0
3,7.0,1.0,0.333,0.333,0.333,0,3.92,5.066,0.667,1.0,0.00061,0.051027,1.585,0.5,0.5
2,4.5,1.0,1.0,0.0,0.0,0,3.145,4.373,0.5,1.0,0.000631,0.051027,1.0,1.0,0.0
3,7.333,1.0,0.333,0.0,0.667,0,4.49,5.472,0.667,1.0,0.000999,0.051021,1.585,0.5,0.5
3,5.667,1.0,0.667,0.333,0.0,0,3.323,4.778,0.333,1.0,0.001095,0.051019,1.585,1.0,0.0
1,5.0,1.0,0.0,1.0,0.0,0,1.916,1.916,0.0,1.0,0.000593,0.051028,0.0,0.5,0.5
3,6.667,1.0,1.0,0.0,0.0,0,2.126,2.797,0.333,1.0,0.000186,0.051031,1.585,0.5,0.5
3,9.0,1.0,0.667,0.333,0.0,0,3.227,4.373,0.667,1.0,-0.000178,0.051031,1.585,0.0,1.0
2,6.5,1.0,1.0,0.0,0.0,0,1.79,1.99,0.5,1.0,0.000324,0.05103,1.0,0.5,0.5
2,7.5,1.0,1.0,0.0,0.0,0,3.145,4.373,0.5,1.0,5.2e-05,0.051031,1.0,0.0,1.0
3,7.333,1.0,0.333,0.667,0.0,0,3.323,4.373,0.667,1.0,0.000666,0.051027,1.585,1.0,0.0
3,6.667,1.0,0.667,0.0,0.333,1,3.078,4.373,0.333,1.0,0.000118,0.051031,1.585,0.5,0.5
2,7.5,1.0,1.0,0.0,0.0,0,3.145,4.373,0.5,1.0,3.5e-05,0.051031,1.0,0.5,0.5
3,7.667,1.0,0.667,0.333,0.0,0,3.323,4.373,0.667,1.0,-7e-06,0.051031,1.585,0.5,0.5
3,9.0,1.0,0.333,0.333,0.333,0,3.179,4.555,0.667,1.0,-0.00015,0.051031,1.585,0.5,0.5
3,8.0,1.0,1.0,0.0,0.0,0,3.214,4.373,0.667,1.0,0.000232,0.051031,1.585,0.5,0.5
3,4.0,1.0,1.0,0.0,0.0,0,2.735,3.457,0.667,1.0,0.000212,0.051031,1.585,0.5,0.5
2,9.5,1.0,1.0,0.0,0.0,0,2.491,3.392,0.5,1.0,0.000759,0.051025,1.0,1.0,0.0
3,8.667,1.0,0.667,0.333,0.0,0,4.604,5.472,0.333,1.0,-5.1e-05,0.051031,1.585,0.5,0.5
3,7.333,1.0,0.667,0.333,0.0,0,3.388,5.472,0.333,1.0,0.000439,0.051029,1.585,0.5,0.5
2,6.0,1.0,0.5,0.5,0.0,0,3.491,5.066,0.5,1.0,0.000727,0.051026,1.0,1.0,0.0
3,3.667,1.0,1.0,0.0,0.0,0,2.33,3.6,0.333,1.0,0.000701,0.051026,1.585,0.0,1.0
3,7.333,1.0,0.667,0.333,0.0,0,2.83,4.555,0.333,1.0,0.001314,0.051014,1.585,0.5,0.5
3,9.0,1.0,0.667,0.333,0.0,0,3.001,5.066,0.333,1.0,0.000596,0.051028,1.585,0.5,0.5
3,7.333,1.0,0.667,0.333,0.0,0,2.568,3.767,0.333,1.0,0.001024,0.051021,1.585,0.5,0.5
3,8.667,1.0,0.667,0.0,0.333,0,3.161,4.373,0.333,1.0,0.00115,0.051018,1.585,0.5,0.5
3,7.333,1.0,0.333,0.333,0.333,0,3.025,4.085,0.667,1.0,0.000831,0.051024,1.585,0.5,0.5
2,5.5,1.0,1.0,0.0,0.0,0,2.495,3.074,0.5,1.0,0.000686,0.051026,1.0,0.5,0.5
3,4.333,1.0,1.0,0.0,0.0,0,2.986,3.968,0.667,1.0,0.000149,0.051031,1.585,0.5,0.5
3,4.333,1.0,0.667,0.333,0.0,0,2.986,3.968,0.667,1.0,-5.5e-05,0.051031,1.585,0.5,0.5
3,4.333,1.0,1.0,0.0,0.0,0,2.986,3.968,0.667,1.0,0.00016,0.051031,1.585,0.5,0.5
2,5.0,1.0,0.5,0.5,0.0,0,3.694,5.472,0.5,1.0,0.000351,0.05103,1.0,0.5,0.5
3,5.333,1.0,0.667,0.333,0.0,0,3.718,5.472,0.667,1.0,0.000297,0.05103,1.585,0.5,0.5
3,7.0,1.0,0.667,0.333,0.0,0,3.018,3.862,0.667,1.0,-8.1e-05,0.051031,1.585,0.5,0.5
1,5.0,1.0,0.0,1.0,0.0,0,1.916,1.916,0.0,1.0,0.000593,0.051028,0.0,0.0,1.0
2,4.5,1.0,1.0,0.0,0.0,0,1.695,1.916,0.5,1.0,0.000619,0.051027,1.0,0.0,1.0
3,5.667,1.0,0.667,0.333,0.0,0,2.424,3.767,0.333,1.0,0.000498,0.051029,1.585,0.0,1.0
3,6.333,1.0,0.667,0.333,0.0,0,3.15,3.767,0.667,1.0,0.000975,0.051022,1.585,0.0,1.0
3,5.333,1.0,0.667,0.0,0.333,1,2.151,2.946,0.333,1.0,0.000516,0.051028,1.585,0.5,0.5
3,6.0,1.0,1.0,0.0,0.0,0,2.143,2.699,0.333,1.0,0.000925,0.051023,1.585,0.5,0.5
3,9.0,1.0,0.667,0.333,0.0,0,3.254,5.472,0.333,1.0,0.000564,0.051028,1.585,0.5,0.5
3,7.667,1.0,0.667,0.333,0.0,0,3.254,5.472,0.333,1.0,0.001116,0.051019,1.585,0.5,0.5
2,7.0,1.0,1.0,0.0,0.0,0,2.145,2.699,0.5,1.0,0.001175,0.051018,1.0,0.0,1.0
3,6.667,0.667,1.0,0.0,0.0,0,1.96,2.699,0.333,1.0,0.000507,0.051029,0.918,0.0,1.0
3,7.333,1.0,0.667,0.0,0.333,0,2.836,4.219,0.333,1.0,0.000873,0.051024,1.585,0.0,1.0
