domain,method,queries,precision_at_10,recall_at_10,mrr,ndcg_at_10,latency_seconds
argumentation,BM25,250,0.055599999999999865,0.556,0.17047619047619053,0.26261615896183854,5.616403499599953
argumentation,Dense,250,0.07800000000000003,0.78,0.24884126984127017,0.3767882302100436,0.06444351919998008
argumentation,Fixed Hybrid,250,0.07760000000000002,0.776,0.2446396825396828,0.37215971675399384,5.680847018799934
argumentation,Adaptive Hybrid,250,0.07920000000000005,0.792,0.24986031746031775,0.3799806966780774,5.680847018799934
finance,BM25,250,0.041999999999999954,0.2023380952380952,0.1969698412698413,0.15906332646506077,0.31021204800002306
finance,Dense,250,0.10040000000000011,0.44861746031746025,0.41997460317460317,0.36241558210900815,0.06730967959997361
finance,Fixed Hybrid,250,0.09000000000000004,0.4159587301587302,0.4230365079365079,0.34622610265640374,0.3775217275999967
finance,Adaptive Hybrid,250,0.09840000000000008,0.44679047619047624,0.43907460317460323,0.36966450305691584,0.3775217275999967
medical,BM25,250,0.15400000000000016,0.10026151692730378,0.4112968253968253,0.22076647196639967,0.09397000199990725
medical,Dense,250,0.1908000000000001,0.12746712812755556,0.40317460317460324,0.24912851955215695,0.062015130000108915
medical,Fixed Hybrid,250,0.19440000000000027,0.13326634256489833,0.4584539682539683,0.2662846568476078,0.15598513200001615
medical,Adaptive Hybrid,250,0.19600000000000015,0.13448952470881795,0.43026190476190473,0.26108032614250987,0.15598513200001615
scientific,BM25,250,0.07079999999999993,0.6487999999999999,0.5173650793650794,0.5448526939007522,0.3443854404000158
scientific,Dense,250,0.08520000000000014,0.7732,0.5756857142857141,0.6196496660469506,0.06424751480012492
scientific,Fixed Hybrid,250,0.08240000000000008,0.7504,0.6170079365079365,0.6447220585298497,0.4086329552001407
scientific,Adaptive Hybrid,250,0.08560000000000013,0.7792,0.6169571428571429,0.6526862436162907,0.4086329552001407
